2.5,0,0.00029231,0.00028602,0.00026802,0.00078357,0.00052052,0,5.0424e-05,0.00011946,0.00048097,0.00052065,0,0.063322,0.0009427,0.00011371,0.00025575,0,0.00029193
7.5,0.00058058,0,0.0010011,0,0.0010634,0.00034701,0.00058219,5.0424e-05,0.00015928,0.00048097,0.0006942,9.9394e-05,0.086631,0.00080803,0.00022743,0.00051151,0,0.0002595
12.5,0.00058058,0.00058462,0.00057204,0,0.0011194,0.00052052,0.00097031,0,7.964e-05,0.0011681,0.0006942,0,0.14466,0.00080803,0.00011371,0.00025575,0,0.00016218
17.5,0.00058058,0.00048719,0.00078656,0.0010721,0.0011754,0.00095428,0.00058219,0,3.982e-05,0.0010994,0.00052065,0,0.26993,0.0011447,0.00045486,0.00025575,0.00071531,6.4874e-05
22.5,0.00058058,0.00097437,0.0012156,0,0.001847,0.0012145,0.00077625,0.00010085,0.00035838,0.00096193,0.0003471,0.00059636,0.54073,0.0015487,0.00062543,0.0023018,0.00095374,0.00019462
27.5,0.0020735,0.0013641,0.0022882,0.0010721,0.0031902,0.0019953,0.0011644,0.00030254,0.0001991,0.0017177,0.0006942,0.00089454,0.8799,0.0024241,0.00085285,0.0035806,0.0021459,0.00035681
32.5,0.0018247,0.0041898,0.0030032,0.0034843,0.0037499,0.0025158,0.003299,0.00020169,0.00047784,0.0017177,0.0010413,0.0017891,0.68819,0.0058582,0.0033546,0.0051151,0.0032189,0.0002595
37.5,0.0042299,0.0052616,0.0064355,0.0050925,0.0052051,0.0026893,0.009315,0.00095805,0.00091586,0.0030919,0.0019091,0.0051685,0.20623,0.011716,0.01086,0.014066,0.0083453,0.00032437
42.5,0.0077963,0.0075027,0.015588,0.011257,0.0094028,0.0046847,0.022705,0.0037818,0.0016724,0.0055655,0.0046859,0.010635,0.020941,0.03259,0.061576,0.036061,0.020505,0.0014921
47.5,0.015427,0.031667,0.042975,0.052533,0.01388,0.0096296,0.071027,0.031868,0.0033847,0.010513,0.012496,0.041745,0.00037395,0.09299,0.18382,0.095396,0.057463,0.0040222
52.5,0.045451,0.092858,0.14644,0.10265,0.02916,0.035222,0.1209,0.076946,0.0056544,0.025491,0.024644,0.093132,6.2325e-05,0.28018,0.40277,0.19898,0.11338,0.017256
57.5,0.083022,0.20403,0.27744,0.18226,0.060167,0.07348,0.15835,0.16105,0.011309,0.060877,0.061437,0.15963,0,0.62561,0.79207,0.24118,0.18872,0.049629
62.5,0.1288,0.29183,0.39943,0.31681,0.11871,0.11599,0.24529,0.28434,0.015251,0.11536,0.11298,0.24292,0,1,0.88975,0.42864,0.20565,0.075838
67.5,0.15833,0.29212,0.33901,0.2246,0.12073,0.10072,0.21793,0.19579,0.01326,0.13515,0.11159,0.25514,6.2325e-05,0.93085,0.58034,0.24373,0.19266,0.067988
72.5,0.098366,0.17227,0.1739,0.15385,0.080875,0.058038,0.18378,0.060458,0.010632,0.089666,0.071677,0.14382,0,0.59026,0.31607,0.19514,0.15486,0.048007
77.5,0.03865,0.068206,0.05985,0.10533,0.038954,0.027848,0.090433,0.012555,0.0083224,0.057304,0.021694,0.052778,0,0.32651,0.11951,0.092072,0.081187,0.030329
82.5,0.015178,0.021241,0.021094,0.049317,0.018526,0.011191,0.049874,0.0017144,0.0039024,0.017452,0.008504,0.024948,0,0.12625,0.029224,0.01688,0.033262,0.0093743
87.5,0.0064693,0.0059437,0.0064355,0.019834,0.0069961,0.0049449,0.017466,0.00050424,0.001553,0.0065274,0.0027768,0.0099394,0,0.036159,0.0081305,0.0058824,0.011803,0.0022057
92.5,0.0034835,0.0027282,0.0030032,0.011793,0.0031902,0.0023423,0.006404,0.00035296,0.00031856,0.0030919,0.0026033,0.0051685,0,0.012255,0.0020469,0.001023,0.0032189,0.00019462
97.5,0.0016588,0.0011692,0.0010011,0.0064326,0.0022947,0.001388,0.0027169,0.00040339,0.00023892,0.0015116,0.0017355,0.0015903,0,0.0051175,0.0013077,0.001023,0.0011922,0.00045412
102.5,0.00141,0.0017539,0.00042903,0.0040204,0.0010634,0.0012145,0.0015525,0.00010085,7.964e-05,0.0013742,0.0013884,0.00029818,0,0.0027608,0.00073914,0,0.00059609,0.0002595
107.5,0.0012441,0.00038975,0.00021452,0.00080407,0.0011194,0.00069402,0.00077625,0.00020169,3.982e-05,0.0012368,0.00017355,9.9394e-05,0,0.0019527,0.00045486,0,0.00035765,0.00019462
112.5,0.00058058,0.00038975,0.00035753,0.00026802,0.00089551,0.00026026,0.00038812,5.0424e-05,0,0.00082452,0.0003471,9.9394e-05,0,0.0010774,0.00045486,0.00025575,0.00023844,9.7311e-05
117.5,0.00066351,0.00048719,0.00021452,0.00026802,0.00078357,0.00043376,0.00058219,0.00020169,7.964e-05,0.0012368,0.0003471,9.9394e-05,0,0.00074069,0.00022743,0,0.00023844,6.4874e-05
122.5,0.00033176,0,0.00028602,0.00026802,0.00055969,0.00043376,0.00038812,0.00020169,3.982e-05,0.00061839,0.00017355,9.9394e-05,0,0.0011447,0.00045486,0.00025575,0.00011922,0.00012975
127.5,0.00016588,9.7437e-05,0.00014301,0,0.0007276,0.00043376,0.00019406,0.00010085,0,0.00061839,0,0,0,0.0011447,0.00034114,0,0.00011922,0.00016218
132.5,0.00058058,0.00029231,0.00035753,0.00026802,0.0010074,0.00060727,0,0.00010085,7.964e-05,0.00041226,0.0003471,9.9394e-05,0,0.0017507,0.00045486,0.00025575,0.00035765,0.00029193
