2.5,0.012624,-0.16571,-0.14928,-0.08163,-0.031236,-0.01171,-0.00879,-0.000563,-0.027741,-0.019957,-0.004031,-0.00045,-0.005258,-0.06217,-0.16949,-0.01082,-0.01307,-0.002226
7.5,-0.0335,-0.08567,-0.14877,-0.04252,-0.002388,-0.075062,-0.08325,-0.014568,-0.009871,-0.003306,-0.023101,0.01475,-0.004205,-0.0459,-0.02102,0.07299,0.03662,-0.007282
12.5,-0.035686,-0.28091,-0.14285,-0.04382,0.020904,-0.024361,-0.06993,-0.001937,-0.035933,-0.007449,-0.015919,-0.021893,0.004719,-0.067889,-0.019444,0.025104,-0.083955,-0.010168
17.5,-0.000432,-0.22029,-0.083205,-0.049832,0.014947,-0.034604,-0.10682,-0.001614,-0.022026,-0.006058,-0.02738,-0.082235,0.01912,-0.020979,-0.031584,-0.033264,-0.044165,-0.00268
22.5,-0.013738,-0.20165,-0.075108,-0.033245,0.002744,-0.015683,-0.03317,-0.0046603,-0.009815,-0.014884,0.01149,-0.00376,0.011133,-0.030591,-0.005608,-0.004225,-0.013974,-0.008292
27.5,-0.036296,-0.19372,-0.053498,-0.038751,0.007592,0.007418,-0.031186,0.0053029,-0.001253,0.003065,0.007784,0.035412,0.004254,-0.008087,0.009351,-0.028953,0.010659,-0.0028632
32.5,0.002793,-0.14169,-0.023309,-0.022671,0.015203,-0.024044,0.01705,0.001113,0.001243,0.003666,-0.009309,0.009289,0.025651,0.004269,0.012845,0.069925,0.006803,0.0035141
37.5,-0.002562,-0.14979,-0.029054,0.001885,-0.004686,-0.002198,-0.10553,0.0092882,0.000334,0.002728,-0.006091,0.023655,0.025418,0.009914,0.021388,0.022438,-0.008668,0.0025639
42.5,0.016565,-0.16326,-0.1077,0.039478,-0.005108,-0.014533,-0.00013,-0.0021986,0.0037133,-0.002595,-0.000949,0.028466,0.055969,0.017846,0.012647,0.041494,-0.012398,0.0050189
47.5,-0.005953,-0.14812,-0.009045,0.042593,-0.0077687,-0.013383,0.027555,0.0077342,-0.0009959,0.019755,0.005171,0.010592,0.017547,-0.005774,0.022512,0.008172,0.007162,0.0024206
52.5,0.006891,-0.0437,-0.003255,-0.003258,0.007647,-0.005961,-0.035504,0.0055376,0.011084,-0.012906,2.8e-05,0.006949,0.055443,0.030636,0.028573,0.011366,-0.003294,0.0063088
